mul;add;rot;inv;blocks;threads;energy
0;537500;0;0;6;736;0,016605952
0;537500;0;0;6;752;0,016769152
0;537500;0;0;6;768;0,016648467
0;537500;0;0;6;784;0,016685273
0;537500;0;0;6;800;0,016821515
0;537500;0;0;6;816;0,016783052
0;537500;0;0;6;832;0,016830944
0;537500;0;0;6;848;0,016998066
0;537500;0;0;6;864;0,017168249
0;537500;0;0;6;880;0,017001059
0;537500;0;0;6;896;0,017049419
0;537500;0;0;6;912;0,017172671
0;537500;0;0;6;928;0,017040941
0;537500;0;0;6;944;0,017149158
0;537500;0;0;6;960;0,017208503
0;537500;0;0;6;976;0,017102281
0;537500;0;0;6;992;0,017366091
0;537500;0;0;6;1008;0,017404147
0;537500;0;0;6;1024;0,017504034
0;537500;0;0;8;16;0,022486604
0;537500;0;0;8;32;0,021727552
0;537500;0;0;8;48;0,019282217
0;537500;0;0;8;64;0,017563288
0;537500;0;0;8;80;0,016701329
0;537500;0;0;8;96;0,016514318
0;537500;0;0;8;112;0,016038562
0;537500;0;0;8;128;0,016264471
0;537500;0;0;8;144;0,01573336
0;537500;0;0;8;160;0,015783642
0;537500;0;0;8;176;0,01574376
0;537500;0;0;8;192;0,015400778
0;537500;0;0;8;208;0,015470571
0;537500;0;0;8;224;0,015627605
0;537500;0;0;8;240;0,015851052
0;537500;0;0;8;256;0,015783642
0;537500;0;0;8;272;0,015199257
0;537500;0;0;8;288;0,015145536
0;537500;0;0;8;304;0,015323508
0;537500;0;0;8;320;0,015401775
0;537500;0;0;8;336;0,015512447
0;537500;0;0;8;352;0,01570294
0;537500;0;0;8;368;0,015846954
0;537500;0;0;8;384;0,016015622
0;537500;0;0;8;400;0,016166505
0;537500;0;0;8;416;0,016391836
0;537500;0;0;8;432;0,016469435
0;537500;0;0;8;448;0,016764231
0;537500;0;0;8;464;0,016941701
0;537500;0;0;8;480;0,017247401
0;537500;0;0;8;496;0,016812538
0;537500;0;0;8;512;0,016536609
0;537500;0;0;8;528;0,016371981
0;537500;0;0;8;544;0,015952288
0;537500;0;0;8;560;0,015947156
0;537500;0;0;8;576;0,015947301
0;537500;0;0;8;592;0,015990687
0;537500;0;0;8;608;0,016054022
0;537500;0;0;8;624;0,016106581
0;537500;0;0;8;640;0,016143075
0;537500;0;0;8;656;0,0161388
0;537500;0;0;8;672;0,016195918
0;537500;0;0;8;688;0,016271453
0;537500;0;0;8;704;0,016427356
0;537500;0;0;8;720;0,016428542
